SKU,Name,Price,Rating,CategoryId,IsActive,CreatedAt
SKU000052,Item 52,38.49,3.7,4,false,2024-02-21T10:00:00Z
SKU000053,Item 53,38.99,4.5,5,true,2024-02-22T10:00:00Z
SKU000054,Item 54,39.49,4.2,6,true,2024-02-23T10:00:00Z
SKU000055,Item 55,39.99,4.3,1,true,2024-02-24T10:00:00Z
SKU000056,Item 56,40.49,3.8,2,false,2024-02-25T10:00:00Z
SKU000057,Item 57,40.99,4.7,3,true,2024-02-26T10:00:00Z
SKU000058,Item 58,41.49,4.3,4,true,2024-02-27T10:00:00Z
SKU000059,Item 59,41.99,4.0,5,true,2024-02-28T10:00:00Z
SKU000060,Item 60,42.49,3.9,6,true,2024-02-29T10:00:00Z
SKU000061,Item 61,42.99,4.6,1,false,2024-03-01T10:00:00Z
SKU000062,Item 62,43.49,4.1,2,true,2024-03-02T10:00:00Z
SKU000063,Item 63,43.99,3.8,3,true,2024-03-03T10:00:00Z
SKU000064,Item 64,44.49,4.4,4,true,2024-03-04T10:00:00Z
SKU000065,Item 65,44.99,4.2,5,false,2024-03-05T10:00:00Z
SKU000066,Item 66,45.49,4.0,6,true,2024-03-06T10:00:00Z
SKU000067,Item 67,45.99,3.7,1,true,2024-03-07T10:00:00Z
SKU000068,Item 68,46.49,4.5,2,true,2024-03-08T10:00:00Z
SKU000069,Item 69,46.99,4.3,3,false,2024-03-09T10:00:00Z
SKU000070,Item 70,47.49,4.1,4,true,2024-03-10T10:00:00Z
SKU000071,Item 71,47.99,4.4,5,true,2024-03-11T10:00:00Z
SKU000072,Item 72,48.49,3.9,6,true,2024-03-12T10:00:00Z
SKU000073,Item 73,48.99,4.6,1,true,2024-03-13T10:00:00Z
SKU000074,Item 74,49.49,4.2,2,false,2024-03-14T10:00:00Z
SKU000075,Item 75,49.99,4.0,3,true,2024-03-15T10:00:00Z
SKU000076,Item 76,50.49,3.8,4,true,2024-03-16T10:00:00Z
SKU000077,Item 77,50.99,4.7,5,true,2024-03-17T10:00:00Z
SKU000078,Item 78,51.49,4.1,6,false,2024-03-18T10:00:00Z
SKU000079,Item 79,51.99,4.3,1,true,2024-03-19T10:00:00Z
SKU000080,Item 80,52.49,4.5,2,true,2024-03-20T10:00:00Z
