SKU,Name,Price,Rating,CategoryId,IsActive,CreatedAt
SKU000077,Mu Weight Scale Digital,34.99,4.3,4,true,2024-01-20T10:00:00Z
SKU000078,Nu Massage Gun Mini,79.99,4.7,4,true,2024-03-03T09:30:00Z
SKU000079,Xi Sports Bottle 32oz,14.99,4.2,4,true,2024-01-27T11:30:00Z
SKU000080,Omicron Gym Shorts M,19.99,4.1,4,true,2024-02-15T13:00:00Z
SKU000081,Phi Desk Footrest,22.99,4.5,5,true,2024-03-04T08:00:00Z
SKU000082,Rho Mouse Pad XXL,17.99,4.4,5,true,2024-02-19T10:10:00Z
SKU000083,Sigma Cable Organizer,12.99,4.3,5,true,2024-01-31T11:20:00Z
SKU000084,Tau Office Drawer Tray,9.99,4.1,5,true,2024-03-01T12:30:00Z
SKU000085,Upsilon Wall Calendar 2024,7.99,4.0,5,true,2024-01-08T08:30:00Z
SKU000086,Phi Kitchen Shears,12.99,4.4,6,true,2024-02-27T09:40:00Z
SKU000087,Chi Silicone Spatula,7.99,4.3,6,true,2024-03-09T10:50:00Z
SKU000088,Omega Glass Meal Prep Set,29.99,4.6,6,true,2024-01-30T12:00:00Z
SKU000089,Alpha Stainless Steel Pan,39.99,4.5,6,true,2024-02-22T14:00:00Z
SKU000090,Beta Measuring Cups Set,9.99,4.2,6,true,2024-01-14T11:00:00Z
SKU000091,Gamma Tri-Fold Mirror,19.99,4.1,6,true,2024-02-06T09:40:00Z
SKU000092,Delta Dish Rack Foldable,24.99,4.3,6,true,2024-03-06T13:40:00Z
SKU000093,Epsilon Sink Strainer,6.99,4.0,6,true,2024-01-19T09:10:00Z
SKU000094,Theta Knife Sharpener,14.99,4.4,6,true,2024-02-25T10:30:00Z
SKU000095,Iota Oven Mitts Heat-Proof,11.99,4.3,6,true,2024-03-03T11:10:00Z
SKU000096,Kappa Fruit Basket Wire,18.99,4.2,6,true,2024-01-25T13:20:00Z
SKU000097,Lambda Cutting Shears,8.99,4.1,6,true,2024-02-12T15:20:00Z
SKU000098,Mu Paper Towel Holder,12.99,4.3,6,true,2024-03-08T16:00:00Z
SKU000099,Nu Spice Rack Stand,22.99,4.5,6,true,2024-02-17T14:10:00Z
SKU000100,Xi Salad Bowl Large,19.99,4.4,6,true,2024-01-28T12:30:00Z
